node,row_idx,is_train,is_test,is_clean,L_i_r_db,state_idx,A_hat_r_db
Node1-Bogota,32,True,False,True,-19.43614673614502,4,-0.06021174719167312
Node1-Bogota,33,True,False,True,-21.840115547180176,0,0.29531949250273
Node1-Bogota,34,True,False,True,-21.617124557495117,0,0.29531949250273
Node1-Bogota,35,True,False,True,-20.307044982910156,2,0.06415396697761477
Node1-Bogota,36,True,False,True,-20.353453636169434,1,0.08338561538578004
Node1-Bogota,37,True,False,True,-20.320104598999023,2,0.06415396697761477
Node1-Bogota,38,True,False,True,-20.718268394470215,1,0.08338561538578004
Node1-Bogota,39,True,False,True,-18.3845853805542,5,-0.372263002765271
Node1-Bogota,40,True,False,True,-22.103764533996582,0,0.29531949250273
Node1-Bogota,41,True,False,True,-21.78857707977295,0,0.29531949250273
Node1-Bogota,42,True,False,True,-20.182819366455078,2,0.06415396697761477
Node1-Bogota,43,True,False,True,-18.733444213867188,5,-0.372263002765271
Node1-Bogota,44,True,False,True,-18.777791023254395,5,-0.372263002765271
Node1-Bogota,45,True,False,True,-20.17240047454834,2,0.06415396697761477
Node1-Bogota,46,True,False,False,-18.515180587768555,5,-0.372263002765271
Node1-Bogota,47,True,False,True,-21.11414337158203,0,0.29531949250273
Node1-Bogota,48,True,False,True,-20.814990043640137,0,0.29531949250273
Node1-Bogota,49,True,False,True,-20.29243564605713,2,0.06415396697761477
Node1-Bogota,50,True,False,True,-19.85359287261963,3,0.03292154387910238
Node1-Bogota,51,True,False,True,-18.928680419921875,5,-0.372263002765271
Node1-Bogota,52,True,False,True,-19.078038215637207,4,-0.06021174719167312
Node1-Bogota,53,True,False,True,-20.179747581481934,2,0.06415396697761477
Node1-Bogota,54,True,False,True,-20.33139133453369,1,0.08338561538578004
Node1-Bogota,55,True,False,True,-19.650463104248047,4,-0.06021174719167312
Node1-Bogota,56,True,False,True,-21.146018028259277,0,0.29531949250273
Node1-Bogota,57,True,False,True,-20.172075271606445,3,0.03292154387910238
Node1-Bogota,58,True,False,True,-19.597311973571777,4,-0.06021174719167312
Node1-Bogota,59,True,False,True,-20.194944381713867,2,0.06415396697761477
Node1-Bogota,60,True,False,True,-20.212153434753418,2,0.06415396697761477
Node1-Bogota,61,True,False,True,-19.85336971282959,3,0.03292154387910238
Node1-Bogota,62,True,False,True,-20.30702781677246,2,0.06415396697761477
Node1-Bogota,63,True,False,True,-19.47497272491455,4,-0.06021174719167312
Node1-Bogota,64,True,False,True,-20.781121253967285,0,0.29531949250273
Node1-Bogota,65,True,False,True,-20.67383098602295,1,0.08338561538578004
Node1-Bogota,66,True,False,True,-18.931217193603516,5,-0.372263002765271
Node1-Bogota,67,True,False,True,-20.117487907409668,3,0.03292154387910238
Node1-Bogota,68,True,False,True,-20.11670970916748,3,0.03292154387910238
Node1-Bogota,69,True,False,True,-19.909903526306152,3,0.03292154387910238
Node1-Bogota,70,True,False,True,-20.457252502441406,1,0.08338561538578004
Node1-Bogota,71,True,False,True,-20.113205909729004,3,0.03292154387910238
Node1-Bogota,72,True,False,True,-19.753681182861328,4,-0.06021174719167312
Node1-Bogota,73,False,True,True,-21.20742416381836,0,0.29531949250273
Node1-Bogota,74,False,True,True,-20.246336936950684,2,0.06415396697761477
Node1-Bogota,75,False,True,True,-21.306159019470215,0,0.29531949250273
Node1-Bogota,76,False,True,True,-20.3341646194458,1,0.08338561538578004
Node1-Bogota,77,False,True,True,-20.262206077575684,2,0.06415396697761477
Node1-Bogota,78,False,True,True,-20.596863746643066,1,0.08338561538578004
Node1-Bogota,79,False,True,True,-19.998653411865234,3,0.03292154387910238
Node1-Bogota,80,False,True,True,-20.05019474029541,3,0.03292154387910238
Node1-Bogota,81,False,True,True,-20.93150806427002,0,0.29531949250273
Node1-Bogota,82,False,True,True,-20.114856719970703,3,0.03292154387910238
Node1-Bogota,83,False,True,True,-19.98532772064209,3,0.03292154387910238
Node1-Bogota,84,False,True,True,-19.862677574157715,3,0.03292154387910238
Node1-Bogota,85,False,True,True,-20.302560806274414,2,0.06415396697761477
Node1-Bogota,86,False,True,True,-19.88093852996826,3,0.03292154387910238
Node1-Bogota,87,False,True,True,-19.64988613128662,4,-0.06021174719167312
Node1-Bogota,88,False,True,True,-20.477526664733887,1,0.08338561538578004
Node1-Bogota,89,False,True,True,-20.2817325592041,2,0.06415396697761477
Node1-Bogota,90,False,True,True,-19.55447483062744,4,-0.06021174719167312
Node1-Bogota,91,False,True,True,-20.80668830871582,0,0.29531949250273
Node1-Bogota,92,False,True,True,-20.22466468811035,2,0.06415396697761477
Node1-Bogota,93,False,True,True,-19.919804573059082,3,0.03292154387910238
Node1-Bogota,94,False,True,True,-21.33256435394287,0,0.29531949250273
Node1-Bogota,95,False,True,True,-19.698519706726074,4,-0.06021174719167312
Node1-Bogota,96,False,True,True,-19.4883975982666,4,-0.06021174719167312
Node1-Bogota,97,False,True,True,-20.185592651367188,2,0.06415396697761477
